sample_id,OD_730,run_date,strain,induction,timepoint
20211014_0_1,0.5653,20211014,EVC,-,0
20211014_0_2,0.5653,20211014,EVC,+,0
20211014_0_3,0.544,20211014,J23100,-,0
20211014_0_4,0.544,20211014,J23100,+,0
20211014_0_5,0.5333,20211014,Prha,-,0
20211014_0_6,0.5333,20211014,Prha,+,0
20211014_0_7,0.544,20211014,petE,-,0
20211014_0_8,0.544,20211014,petE,+,0
20211014_2_1,0.5296,20211014,EVC,-,2
20211014_2_2,0.5808,20211014,EVC,+,2
20211014_2_3,0.5424,20211014,J23100,-,2
20211014_2_4,0.56,20211014,J23100,+,2
20211014_2_5,0.568,20211014,Prha,-,2
20211014_2_6,0.5696,20211014,Prha,+,2
20211014_2_7,0.5056,20211014,petE,-,2
20211014_2_8,0.4288,20211014,petE,+,2
20211014_3_1,0.4128,20211014,EVC,-,3
20211014_3_2,0.4896,20211014,EVC,+,3
20211014_3_3,0.4112,20211014,J23100,-,3
20211014_3_4,0.5216,20211014,J23100,+,3
20211014_3_5,0.5152,20211014,Prha,-,3
20211014_3_6,0.5376,20211014,Prha,+,3
20211014_3_7,0.4224,20211014,petE,-,3
20211014_3_8,0.5072,20211014,petE,+,3
20211014_4_1,0.4496,20211014,EVC,-,4
20211014_4_2,0.5424,20211014,EVC,+,4
20211014_4_3,0.5488,20211014,J23100,-,4
20211014_4_4,0.5488,20211014,J23100,+,4
20211014_4_5,0.5344,20211014,Prha,-,4
20211014_4_6,0.5632,20211014,Prha,+,4
20211014_4_7,0.5424,20211014,petE,-,4
20211014_4_8,0.544,20211014,petE,+,4
20211014_5_1,0.6096,20211014,EVC,-,5
20211014_5_2,0.64,20211014,EVC,+,5
20211014_5_3,0.584,20211014,J23100,-,5
20211014_5_4,0.576,20211014,J23100,+,5
20211014_5_5,0.5776,20211014,Prha,-,5
20211014_5_6,0.6112,20211014,Prha,+,5
20211014_5_7,0.5792,20211014,petE,-,5
20211014_5_8,0.584,20211014,petE,+,5
20211014_6_1,0.6496,20211014,EVC,-,6
20211014_6_2,0.6752,20211014,EVC,+,6
20211014_6_3,0.6176,20211014,J23100,-,6
20211014_6_4,0.6112,20211014,J23100,+,6
20211014_6_5,0.5984,20211014,Prha,-,6
20211014_6_6,0.6352,20211014,Prha,+,6
20211014_6_7,0.5952,20211014,petE,-,6
20211014_6_8,0.5984,20211014,petE,+,6
20211014_7_1,0.6864,20211014,EVC,-,7
20211014_7_2,0.696,20211014,EVC,+,7
20211014_7_3,0.6384,20211014,J23100,-,7
20211014_7_4,0.64,20211014,J23100,+,7
20211014_7_5,0.6352,20211014,Prha,-,7
20211014_7_6,0.664,20211014,Prha,+,7
20211014_7_7,0.64,20211014,petE,-,7
20211014_7_8,0.656,20211014,petE,+,7
20211014_24_1,NA,20211014,EVC,-,24
20211014_24_2,NA,20211014,EVC,+,24
20211014_24_3,NA,20211014,J23100,-,24
20211014_24_4,NA,20211014,J23100,+,24
20211014_24_5,NA,20211014,Prha,-,24
20211014_24_6,NA,20211014,Prha,+,24
20211014_24_7,NA,20211014,petE,-,24
20211014_24_8,NA,20211014,petE,+,24
